record_id,domain,condition,input_type,input_value,input_unit,replicate,time_step,signal,signal_unit,expected_signal,baseline_signal,voltage_v,current_a,stress_mpa,reference_stress_mpa,temperature_c,input_squared,input_cubed,signal_input_ratio,input_temperature_interaction
B001,Biochem,low_concentration,concentration,0.1,mM,1,1,0.12,absorbance,0.12,0.1,,,,,25,0.010000000000000002,0.0010000000000000002,1.2,2.5
B002,Biochem,low_concentration,concentration,0.1,mM,2,2,0.11,absorbance,0.12,0.1,,,,,25,0.010000000000000002,0.0010000000000000002,1.0999999999999999,2.5
B003,Biochem,low_concentration,concentration,0.1,mM,3,3,0.13,absorbance,0.12,0.1,,,,,25,0.010000000000000002,0.0010000000000000002,1.3,2.5
B004,Biochem,medium_concentration,concentration,0.5,mM,1,1,0.49,absorbance,0.5,0.1,,,,,25,0.25,0.125,0.98,12.5
B005,Biochem,medium_concentration,concentration,0.5,mM,2,2,0.52,absorbance,0.5,0.1,,,,,25,0.25,0.125,1.04,12.5
B006,Biochem,medium_concentration,concentration,0.5,mM,3,3,0.51,absorbance,0.5,0.1,,,,,25,0.25,0.125,1.02,12.5
B007,Biochem,high_concentration,concentration,1.0,mM,1,1,0.98,absorbance,1.0,0.1,,,,,25,1.0,1.0,0.98,25.0
B008,Biochem,high_concentration,concentration,1.0,mM,2,2,1.02,absorbance,1.0,0.1,,,,,25,1.0,1.0,1.02,25.0
B009,Biochem,high_concentration,concentration,1.0,mM,3,3,1.01,absorbance,1.0,0.1,,,,,25,1.0,1.0,1.01,25.0
E001,Electronics,low_load,load,10.0,ohm,1,1,4.95,V,5.0,5.0,4.95,0.2,,,35,100.0,1000.0,0.495,350.0
E002,Electronics,low_load,load,10.0,ohm,2,2,4.9,V,5.0,5.0,4.9,0.21,,,36,100.0,1000.0,0.49000000000000005,360.0
E003,Electronics,low_load,load,10.0,ohm,3,3,4.92,V,5.0,5.0,4.92,0.2,,,35,100.0,1000.0,0.492,350.0
E004,Electronics,medium_load,load,20.0,ohm,1,1,4.7,V,4.7,5.0,4.7,0.24,,,40,400.0,8000.0,0.23500000000000001,800.0
E005,Electronics,medium_load,load,20.0,ohm,2,2,4.65,V,4.7,5.0,4.65,0.25,,,41,400.0,8000.0,0.2325,820.0
E006,Electronics,medium_load,load,20.0,ohm,3,3,4.68,V,4.7,5.0,4.68,0.24,,,40,400.0,8000.0,0.23399999999999999,800.0
E007,Electronics,high_load,load,40.0,ohm,1,1,4.25,V,4.25,5.0,4.25,0.3,,,48,1600.0,64000.0,0.10625,1920.0
E008,Electronics,high_load,load,40.0,ohm,2,2,4.3,V,4.25,5.0,4.3,0.31,,,49,1600.0,64000.0,0.1075,1960.0
E009,Electronics,high_load,load,40.0,ohm,3,3,4.1,V,4.25,5.0,4.1,0.35,,,50,1600.0,64000.0,0.1025,2000.0
M001,Mechanical,low_load,load,50.0,N,1,1,0.5,mm,0.5,0.5,,,80.0,100.0,28,2500.0,125000.0,0.01,1400.0
M002,Mechanical,low_load,load,50.0,N,2,2,0.52,mm,0.5,0.5,,,82.0,100.0,28,2500.0,125000.0,0.0104,1400.0
M003,Mechanical,low_load,load,50.0,N,3,3,0.51,mm,0.5,0.5,,,81.0,100.0,28,2500.0,125000.0,0.0102,1400.0
M004,Mechanical,medium_load,load,100.0,N,1,1,1.1,mm,1.1,0.5,,,150.0,200.0,28,10000.0,1000000.0,0.011000000000000001,2800.0
M005,Mechanical,medium_load,load,100.0,N,2,2,1.08,mm,1.1,0.5,,,148.0,200.0,28,10000.0,1000000.0,0.0108,2800.0
M006,Mechanical,medium_load,load,100.0,N,3,3,1.11,mm,1.1,0.5,,,152.0,200.0,28,10000.0,1000000.0,0.0111,2800.0
M007,Mechanical,high_load,load,150.0,N,1,1,1.75,mm,1.75,0.5,,,230.0,300.0,28,22500.0,3375000.0,0.011666666666666667,4200.0
M008,Mechanical,high_load,load,150.0,N,2,2,1.8,mm,1.75,0.5,,,235.0,300.0,28,22500.0,3375000.0,0.012,4200.0
M009,Mechanical,high_load,load,150.0,N,3,3,2.1,mm,1.75,0.5,,,270.0,300.0,28,22500.0,3375000.0,0.014,4200.0
